"Brand,""Sottobrand"",""Tipologia"",""EAN"",""COD."",""Descrizione"",""PZ / CRT"",""listino unitario  2025"",""Prezzo netto"""
"Pritt,""Correttore"",""PROM"",""4015000417792"",""2883352"",""PRITT correttore Roller Mini - bl 2+1 pz BTS 2025 Cartone"",""10"",""5.73"",""0"""
"Pritt,""Correttore"",""PROM"",""4015000417792"",""1567169"",""PRITT correttore Roller Mini - bl 2+1 pz BTS 2025 Palbox"",""120"",""5.73"",""0"""
"Pritt,""Correttore"",""STD"",""5410091323981"",""2679535"",""PRITT correttore Roller Refill System 4,2mm - astuccio"",""5"",""6.36"",""0"""
"Pritt,""Correttore"",""STD"",""4015000438988"",""2679536"",""PRITT correttore Roller Refill 4,2mm astuccio"",""10"",""3.63"",""0"""
"Pritt,""Correttore"",""PROM"",""3178041321204"",""2799621"",""PRITT correttore Roller Compact 4,2mm - bl 2 pz BTS 2025 Cartone"",""10"",""7.10"",""0"""
"Pritt,""Correttore"",""PROM"",""3178041321204"",""2208783"",""PRITT correttore Roller Compact 4,2mm - bl 2 pz BTS 2025 Palbox"",""120"",""7.10"",""0"""
"Pritt,""Correttore"",""PROM"",""8004630887460"",""2746824"",""PRITT correttore Roller Mini (Glitter version) bl1 - Cartone "",""10"",""3.06"",""0"""
"Pritt,""Correttore"",""PROM"",""8004630887460"",""2254032"",""PRITT correttore Roller Mini (Glitter version) - bl 1pz Strip"",""10"",""3.06"",""0"""
"Pritt,""Corretore  Liquido"",""STD"",""4015000436724"",""2679509"",""PRITT correttore Pocket Pen 8ml - espo 10"",""10"",""1.47"",""0"""
"Pritt,""Corretore  Liquido"",""STD"",""8004630907113"",""2754283"",""PRITT correttore Pocket Pen 8ml - bl 2 special price -  Cartone 12pz "",""12"",""3.46"",""0"""
"Pritt,""Corretore  Liquido"",""STD"",""8004630907113"",""1682212"",""PRITT correttore a penna 8ml special price - bl 2 pz Strip"",""12"",""3.46"",""0"""
"Pritt,""Corretore  Liquido"",""PROM"",""8004630907083"",""2765927"",""PRITT correttore a penna 8ml - bl 2+2 gratis - Cartone 12pz"",""12"",""4.91"",""0"""
"Pritt,""Corretore  Liquido"",""PROM"",""8004630907083"",""1567181"",""PRITT correttore a penna 8ml offerta - bl 2+2 pz Palbox"",""144"",""4.91"",""0"""
"Pritt,""Box mix"",""PROM"",""8004630934713"",""2022534"",""PRITT BTS 2023 - palbox misto DO 152pz"",""152"","""",""0"""
"Pritt,""Box mix"",""PROM"",""8004630934713"",""2485499"",""PRITT Palbox MISTO Colle e Correttori 80pz "",""80"","""",""0"""
"Pritt,""Box mix"",""PROM"",""4015000416566"",""3020077"",""PRITT PALBOX MISTO BTS  2025 - 80 pz"",""80"","""",""0"""
"Pritt,""Box mix"",""Ad Hoc"",""8004630900466"",""2499503"",""PRITT Stick + LSA 3g Pbox 84pz"",""84"","""",""0"""
"Ariasana,""Kit"",""STD"",""8004630899173"",""2025893"",""ARIASANA Power Tab Kit Micro PERLA 300g"",""6"",""10.87"",""0"""
"Ariasana,""Kit"",""STD"",""8004630918942"",""2631266"",""ARIASANA Aero 360 Kit 2x450g - MAXI PROMO 1+1 Gratis"",""6"",""12.75"",""0"""
"Ariasana,""Kit"",""STD"",""8004630911288"",""2626324"",""ARIASANA Aero 360 kit 450g"",""6"",""12.75"",""0"""
"Ariasana,""Kit"",""STD"",""8004630914494"",""2628446"",""ARIASANA Aero 360 Pure kit 450g"",""6"",""12.75"",""0"""
"Ariasana,""Kit"",""STD"",""8004630920822"",""2366100"",""ARIASANA Aero 360 BAGNO kit 450g"",""6"",""12.75"",""0"""
"Ariasana,""Kit"",""BOX"",""8004630920822"",""3008810"",""ARIASANA Aero 360 Kit Bagno  450g - Palbox 30pz"",""30"",""12.75"",""0"""
"Ariasana,""Kit"",""PROM"",""8004630921799"",""2631639"",""ARIASANA Aero 360 kit Lavanda 450g"",""6"",""12.75"",""0"""
"Ariasana,""Box"",""BOX"",""8004630911288"",""3008788"",""ARIASANA Aero 360 Kit Standard + Ric. Singole (Inod.+Lav.) - Palbox 60pz"",""60"",""0.00"",""0"""
"Ariasana,""Box"",""BOX"",""8004630911288"",""3008786"",""ARIASANA Aero 360 Kit Standard + Ric. Bipacchi (Inod.+Lav.) - Palbox 60pz"",""60"",""0.00"",""0"""
"Ariasana,""Kit"",""STD"",""8004630906666"",""2559753"",""ARIASANA Kit Mini Inodore 450g"",""12"",""10.08"",""0"""
"Ariasana,""Tab"",""STD"",""8004630901449"",""920587"",""ARIASANA Power Tab Micro Antiodore 300g"",""12"",""3.99"",""0"""
"Ariasana,""Tab"",""STD"",""8004630917969"",""2091262"",""ARIASANA Power Tab Micro Fruit Energy 300g"",""12"",""3.99"",""0"""
"Ariasana,""Tab"",""STD"",""8004630917945"",""2091261"",""ARIASANA Power Tab Micro Lavanda Relax 300g"",""12"",""3.99"",""0"""
"Ariasana,""Tab"",""STD"",""8004630911363"",""1680991"",""ARIASANA Aero 360 Tab Inodore 450g"",""12"",""5.32"",""0"""
"Ariasana,""Tab"",""BOX"",""8004630911363"",""3008791"",""ARIASANA Aero 360 Tab Inodore 450g - Palbox 96pz"",""96"",""5.32"",""0"""
"Ariasana,""Tab"",""PROM"",""8004630914807"",""2277589"",""ARIASANA Aero Tab Inodore 2x450g"",""12"",""10.61"",""0"""
"Ariasana,""Tab"",""STD"",""8004630922215"",""2552648"",""ARIASANA Aero 360 Tab Inodore Tripack 3x450g"",""8"",""15.64"",""0"""
"Ariasana,""Tab"",""STD"",""4015000437707"",""2631296"",""ARIASANA Aero 360 Tab Lavanda Relax 450g"",""12"",""5.32"",""0"""
"Ariasana,""Tab"",""STD"",""4015000437707"",""2547774"",""ARIASANA Aero 360 Tab Lavanda Relax 450g - Palbox 96pz"",""96"",""5.32"",""0"""
"Ariasana,""Tab"",""BOX"",""4015000437707"",""3008818"",""ARIASANA Aero 360 Tab Lavanda Relax 450g - Palbox 96pz"",""96"",""5.32"",""0"""
"Ariasana,""Tab"",""STD"",""8004630921447"",""2631307"",""ARIASANA Aero 360 Tab Lavanda Relax BiPack 2x450g "",""12"",""10.61"",""0"""
"Ariasana,""Tab"",""PROM"",""8004630931477"",""2927564"",""ARIASANA Aero 360 Tab Lavanda Relax Tripack 3x450g"",""8"",""15.64"",""0"""
"Ariasana,""Tab"",""STD"",""4015000437592"",""2631302"",""ARIASANA Aero 360 Tab Fiori di campo 450g"",""12"",""5.32"",""0"""
"Ariasana,""Tab"",""STD"",""8004630917983"",""2631309"",""ARIASANA Aero 360 Tab Fresia Bianca e Gelsomino 450g"",""12"",""5.32"",""0"""
"Ariasana,""Tab"",""STD"",""8004630933037"",""2981461"",""ARIASANA Aero 360 Tab Agrumi 450g "",""12"",""5.32"",""0"""
"Ariasana,""Tab"",""STD"",""8004630933372"",""2993885"",""ARIASANA Aero 360 Tab Agrumi Bipack 2x450g "",""12"",""10.61"",""0"""
"Ariasana,""Tab"",""STD"",""mix"",""2551050"",""ARIASANA Aero 360 Aroma Mix - Palbox 60pz"",""60"",""0.00"",""0"""
"Ariasana,""Tab"",""STD"",""8004630911288"",""2626324"",""ARIASANA Aero 360 kit 450g"",""12"",""12.75"",""0"""
"Ariasana,""Tab"",""STD"",""8004630911363"",""1680991"",""ARIASANA Aero 360 Tab Inodore 450g"",""24"",""5.32"",""0"""
